Trade_Num,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Profit,Profit_Pct,Actual_RR,Exit_Reason,Balance,peak,drawdown
1,2025-11-13 00:30:00+00:00,2025-11-13 14:15:00+00:00,BUY,0.6556,0.6540885,0.6540885,0.658623,4763.479986768115,-7.200000000000001,-2.0000000000000004,-1.0,STOP_LOSS,352.8,352.8,0.0
2,2025-11-17 23:30:00+00:00,2025-11-18 00:00:00+00:00,SELL,0.64934,0.64869066,0.64966467,0.64869066,21732.836418515464,14.112,3.92,2.0,TAKE_PROFIT,366.91200000000003,366.91200000000003,0.0
3,2025-11-18 02:45:00+00:00,2025-11-18 03:15:00+00:00,SELL,0.64894,0.6482910599999999,0.64926447,0.6482910599999999,22616.0816100087,14.676480000000002,4.0768,2.0,TAKE_PROFIT,381.58848000000006,381.58848000000006,0.0
4,2025-11-19 15:15:00+00:00,2025-11-19 15:45:00+00:00,SELL,0.6478,0.6460840000000002,0.648658,0.6460840000000002,8894.836363637252,15.263539200000002,4.239872000000001,2.0,TAKE_PROFIT,396.8520192000001,396.8520192000001,0.0
5,2025-11-21 14:15:00+00:00,2025-11-21 14:30:00+00:00,SELL,0.64372,0.64404186,0.64404186,0.64307628,24659.915441495763,-7.937040384000002,-2.204733440000001,-1.0,STOP_LOSS,388.9149788160001,396.8520192000001,-0.019999999999999993
6,2025-12-01 01:15:00+00:00,2025-12-01 01:45:00+00:00,BUY,0.65534,0.6547540000000001,0.6547540000000001,0.656512,13273.548765051755,-7.778299576320002,-2.1606387712000004,-1.0,STOP_LOSS,381.13667923968006,396.8520192000001,-0.03960000000000005
7,2025-12-03 02:00:00+00:00,2025-12-03 13:00:00+00:00,BUY,0.65775,0.6593949999999998,0.6569275,0.6593949999999998,9267.761197318032,15.245467169587204,4.234851991552001,2.0,TAKE_PROFIT,396.38214640926725,396.8520192000001,-0.0011840000000000908
8,2025-12-03 02:45:00+00:00,2025-12-03 06:45:00+00:00,BUY,0.65757,0.6585630000000002,0.6570734999999999,0.6585630000000002,15967.055243068276,15.85528585637069,4.4042460712140805,2.0,TAKE_PROFIT,412.23743226563795,412.23743226563795,0.0
9,2025-12-04 09:15:00+00:00,2025-12-04 10:30:00+00:00,BUY,0.66144,0.66110928,0.66110928,0.66210144,24929.694742720716,-8.24474864531276,-2.290207957031322,-1.0,STOP_LOSS,403.9926836203252,412.23743226563795,-0.02000000000000002
10,2025-12-04 15:15:00+00:00,2025-12-04 19:00:00+00:00,BUY,0.66196,0.6611285,0.6611285,0.663623,9717.20225184203,-8.079853672406504,-2.2444037978906954,-1.0,STOP_LOSS,395.9128299479187,412.23743226563795,-0.03960000000000001
11,2025-12-05 17:45:00+00:00,2025-12-05 18:00:00+00:00,BUY,0.66397,0.663638015,0.663638015,0.6646339699999999,23851.2480954226,-7.918256598958374,-2.199515721932882,-1.0,STOP_LOSS,387.99457334896033,412.23743226563795,-0.05880799999999996
12,2025-12-16 13:00:00+00:00,2025-12-16 13:15:00+00:00,BUY,0.66374,0.66440374,0.66340813,0.66440374,23382.322798020097,15.519782933958416,4.311050814988448,2.0,TAKE_PROFIT,403.51435628291875,412.23743226563795,-0.021160319999999927
13,2026-01-20 02:00:00+00:00,2026-01-20 02:45:00+00:00,BUY,0.67108,0.6717510800000001,0.67074446,0.6717510800000001,24051.639523329024,16.14057425131675,4.483492847587986,2.0,TAKE_PROFIT,419.6549305342355,419.6549305342355,0.0
14,2026-01-20 02:30:00+00:00,2026-01-20 03:00:00+00:00,BUY,0.67163,0.6726169999999998,0.6711365,0.6726169999999998,17007.292017600797,16.78619722136942,4.662832561491506,2.0,TAKE_PROFIT,436.44112775560495,436.44112775560495,0.0
15,2026-01-20 14:30:00+00:00,,BUY,0.67363,0.6731644999999999,0.6731644999999999,0.674561,18751.49850722225,-8.7288225551121,-2.424672931975583,-1.0,STOP_LOSS,427.71230520049284,436.44112775560495,-0.020000000000000042
16,2026-01-20 15:15:00+00:00,2026-01-20 19:15:00+00:00,BUY,0.67372,0.673251,0.673251,0.6746579999999999,18239.330712176805,-8.554246104009858,-2.3761794733360717,-1.0,STOP_LOSS,419.158059096483,436.44112775560495,-0.039600000000000024
17,2026-01-22 00:15:00+00:00,,BUY,0.6761,0.6767761,0.6757619500000001,0.6767761,24798.583588020083,16.76632236385932,4.6573117677387,2.0,TAKE_PROFIT,435.9243814603423,436.44112775560495,-0.0011839999999999976
18,2026-01-22 09:00:00+00:00,2026-01-22 09:15:00+00:00,BUY,0.68074,0.68039963,0.68039963,0.68142074,25614.735814576463,-8.718487629206846,-2.421802119224124,-1.0,STOP_LOSS,427.2058938311355,436.44112775560495,-0.02116031999999997
19,2026-01-22 10:30:00+00:00,2026-01-22 11:00:00+00:00,BUY,0.68024,0.6798998799999999,0.6798998799999999,0.6809202400000001,25120.892263381553,-8.54411787662271,-2.3733660768396416,-1.0,STOP_LOSS,418.6617759545128,436.44112775560495,-0.04073711359999993
20,2026-01-26 05:15:00+00:00,2026-01-26 05:45:00+00:00,BUY,0.6917,0.69135415,0.69135415,0.6923916999999999,24210.59858057169,-8.373235519090256,-2.3258987553028487,-1.0,STOP_LOSS,410.28854043542253,436.44112775560495,-0.059922371327999935
21,2026-01-26 06:30:00+00:00,,BUY,0.69189,0.691544055,0.691544055,0.6925818899999999,23719.871102948247,-8.20577080870845,-2.279380780196792,-1.0,STOP_LOSS,402.0827696267141,436.44112775560495,-0.07872392390143994
22,2026-01-26 08:30:00+00:00,2026-01-26 08:45:00+00:00,BUY,0.6918,0.6925049999999999,0.6914475,0.6925049999999999,22813.20678733273,16.083310785068562,4.467586329185711,2.0,TAKE_PROFIT,418.1660804117827,436.44112775560495,-0.04187288085749747
23,2026-01-28 00:30:00+00:00,,BUY,0.70046,0.7000040000000001,0.7000040000000001,0.7013719999999998,18340.617561924275,-8.363321608235653,-2.3231448911765704,-1.0,STOP_LOSS,409.802758803547,436.44112775560495,-0.06103542324034752
24,2026-01-29 02:15:00+00:00,,BUY,0.704,0.7036479999999999,0.7036479999999999,0.704704,23284.247659291188,-8.19605517607094,-2.276681993353039,-1.0,STOP_LOSS,401.60670362747607,436.44112775560495,-0.0798147147755406
25,2026-02-03 12:45:00+00:00,2026-02-03 13:00:00+00:00,BUY,0.7012,0.7008494000000001,0.7008494000000001,0.7019012,22909.68075456363,-8.032134072549521,-2.231148353485978,-1.0,STOP_LOSS,393.57456955492654,436.44112775560495,-0.0982184204800298
