Trade_Num,Entry_Time,Entry_Price,Direction,Stop_Loss,Take_Profit,Intended_RR,Position_Size,Exit_Time,Exit_Price,Exit_Reason,PnL,Actual_RR,Balance_After,Return_Pct,Peak,Drawdown
1,2025-12-15 04:35:00+00:00,5.113,SELL,5.139165000000001,5.0345049999999985,3.0,275,2025-12-16 01:05:00+00:00,5.0345049999999985,TAKE_PROFIT,20.742480000000544,3.0,380.74248000000057,5.761800000000158,380.74248000000057,0.0
2,2025-12-16 09:05:00+00:00,5.021,BUY,4.995295,5.098115000000001,-1.0,296,2025-12-16 13:15:00+00:00,4.995295,STOP_LOSS,-8.500409600000092,-1.0,372.2420704000005,3.4005751111112503,380.74248000000057,-2.232587653471201
3,2025-12-19 07:35:00+00:00,4.917,BUY,4.891814999999999,4.992555000000001,3.0,295,2025-12-22 07:20:00+00:00,4.992555000000001,TAKE_PROFIT,21.418416000000406,3.0,393.6604864000009,9.350135111111355,393.6604864000009,0.0
4,2025-12-22 09:00:00+00:00,4.995,BUY,4.969424999999999,5.0717250000000025,3.0,307,2025-12-24 02:45:00+00:00,5.0717250000000025,TAKE_PROFIT,22.634496000000727,3.0,416.29498240000163,15.637495111111562,416.29498240000163,0.0
5,2025-12-24 09:20:00+00:00,5.067,BUY,5.041065,5.144805000000002,-1.0,321,2025-12-26 15:45:00+00:00,5.041065,STOP_LOSS,-9.301039200000156,-1.0,406.99394320000147,13.05387311111152,416.29498240000163,-2.234242446636831
6,2025-12-31 07:05:00+00:00,4.962,SELL,4.987410000000001,4.885769999999997,-1.0,320,2025-12-31 14:35:00+00:00,4.987410000000001,STOP_LOSS,-9.083904000000263,-1.0,397.9100392000012,10.530566444444784,416.29498240000163,-4.416325917263887
7,2026-01-05 04:30:00+00:00,4.966,BUY,4.94057,5.04229,3.0,312,2026-01-07 13:15:00+00:00,5.04229,TAKE_PROFIT,22.87284480000006,3.0,420.7828840000013,16.884134444444797,420.7828840000013,0.0
8,2026-01-13 03:50:00+00:00,5.004,SELL,5.0296199999999995,4.92714,-1.0,328,2026-01-13 17:10:00+00:00,5.0296199999999995,STOP_LOSS,-9.388147199999992,-1.0,411.3947368000013,14.276315777778134,420.7828840000013,-2.231114324507544
9,2026-01-20 02:55:00+00:00,5.09,BUY,5.063949999999999,5.168150000000002,-1.0,315,2026-01-20 08:10:00+00:00,5.063949999999999,STOP_LOSS,-9.167760000000179,-1.0,402.2269768000011,11.729715777778091,420.7828840000013,-4.4098531346156395
10,2026-01-21 19:00:00+00:00,4.985,SELL,5.010525,4.908425,-1.0,315,2026-01-22 07:20:00+00:00,5.010525,STOP_LOSS,-8.982540000000006,-1.0,393.2444368000011,9.234565777778082,420.7828840000013,-6.544573994601952
11,2026-01-22 19:05:00+00:00,5.075,BUY,5.049024999999999,5.152925000000002,3.0,302,2026-01-23 16:55:00+00:00,5.152925000000002,TAKE_PROFIT,22.613760000000678,3.0,415.8581968000018,15.516165777778276,420.7828840000013,-1.170363003643339
12,2026-01-26 06:25:00+00:00,5.241,BUY,5.214194999999999,5.321415000000001,-1.0,310,2026-01-26 08:40:00+00:00,5.214194999999999,STOP_LOSS,-9.284376000000128,-1.0,406.57382080000167,12.937172444444908,420.7828840000013,-3.3768158687746346
13,2026-01-29 06:40:00+00:00,5.311,BUY,5.2838449999999995,5.392465000000001,-1.0,299,2026-01-29 15:30:00+00:00,5.2838449999999995,STOP_LOSS,-9.072138400000144,-1.0,397.5016824000015,10.417134000000425,420.7828840000013,-5.532829990299624
14,2026-02-02 02:55:00+00:00,5.251,SELL,5.277855000000001,5.1704349999999994,-1.0,296,2026-02-02 12:00:00+00:00,5.277855000000001,STOP_LOSS,-8.881657600000088,-1.0,388.62002480000143,7.950006888889287,420.7828840000013,-7.643575920735348
