Trade_Num,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Position_Mult,Profit,Profit_Pct,Actual_RR,Exit_Reason,Consecutive_Losses,Balance,peak,drawdown
1,2025-01-29 23:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.87515,31.260767119909566,30.720903152036175,31.260767119909566,23.339212745820742,1.0,9.0,2.5,2.5,TAKE_PROFIT,0,369.0,369.0,0.0
2,2025-01-30 00:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.8825,31.256278397058882,30.732988641176448,31.256278397058882,24.68039906155085,1.0,9.225,2.5625,2.5,TAKE_PROFIT,0,378.225,378.225,0.0
3,2025-01-30 01:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.83465,31.193515654411815,30.691103738235274,31.193515654411815,26.348648536728533,1.0,9.455625000000001,2.6265625000000004,2.5,TAKE_PROFIT,0,387.680625,387.680625,0.0
4,2025-01-30 02:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.83925,31.18357167909669,30.701521328361324,31.18357167909669,28.1481423139736,1.0,9.692015625,2.6922265625,2.5,TAKE_PROFIT,0,397.37264062500003,397.37264062500003,0.0
5,2025-01-30 03:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.8955,31.231298702018353,30.761180519192656,31.231298702018353,29.584140605409434,1.0,9.934316015625,2.7595322265625004,2.5,TAKE_PROFIT,0,407.306956640625,407.306956640625,0.0
6,2025-01-30 04:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.8605,31.182759509017043,30.73159619639318,31.182759509017043,31.597745391826628,1.0,10.182673916015625,2.8285205322265625,2.5,TAKE_PROFIT,0,417.48963055664063,417.48963055664063,0.0
7,2025-01-30 05:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.8435,31.153562401230108,30.719475039507955,31.153562401230108,33.66174267666252,1.0,10.437240763916018,2.899233545532227,2.5,TAKE_PROFIT,0,427.92687132055664,427.92687132055664,0.0
8,2025-01-30 06:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,30.915,31.221129372570815,30.792548250971674,31.221129372570815,34.94657076899481,1.0,10.69817178301398,2.97171438417055,2.5000000000000147,TAKE_PROFIT,0,438.62504310357065,438.62504310357065,0.0
9,2025-01-30 07:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,31.017,31.325280845958616,30.893687661616553,31.325280845958616,35.570247783286995,1.0,10.965626077589329,3.0460072437748136,2.500000000000014,TAKE_PROFIT,0,449.59066918115997,449.59066918115997,0.0
10,2025-01-30 08:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,31.062,31.370760785533,30.9384956857868,31.370760785533,36.402831111231606,1.0,11.239766729528998,3.122157424869166,2.5,TAKE_PROFIT,0,460.83043591068895,460.83043591068895,0.0
11,2025-01-30 09:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,31.0445,31.348268943709215,30.922992422516312,31.348268943709215,37.92606563755731,1.0,11.520760897767158,3.2002113604908775,2.4999999999999853,TAKE_PROFIT,0,472.3511968084561,472.3511968084561,0.0
12,2025-01-30 10:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,31.05515,31.35756937630142,30.934182249479434,31.35756937630142,39.047696164949954,1.0,11.808779920211473,3.2802166445031866,2.5000000000000147,TAKE_PROFIT,0,484.1599767286676,484.1599767286676,0.0
13,2025-01-30 11:00:00+00:00,2025-01-30 12:00:00+00:00,BUY,31.0434,31.341182277994168,30.92428708880233,31.341182277994168,40.64714495351424,1.0,12.10399941821669,3.362222060615747,2.5,TAKE_PROFIT,0,496.26397614688426,496.26397614688426,0.0
14,2025-01-30 12:00:00+00:00,2025-01-30 13:00:00+00:00,BUY,31.105,31.411315686708868,30.982473725316453,31.411315686708868,40.502657689430336,1.0,12.406599403672034,3.4462776121311203,2.4999999999999853,TAKE_PROFIT,0,508.6705755505563,508.6705755505563,0.0
15,2025-01-30 13:00:00+00:00,2025-01-30 14:00:00+00:00,BUY,31.375,31.709578851943952,31.24116845922242,31.709578851943952,38.0082731316626,1.0,12.716764388763842,3.5324345524344007,2.4999999999999867,TAKE_PROFIT,0,521.3873399393201,521.3873399393201,0.0
16,2025-01-30 14:00:00+00:00,2025-01-31 01:00:00+00:00,BUY,31.459,31.32065642642082,31.32065642642082,31.804858933947955,37.687861203101164,1.0,-5.213873399393201,-1.4482981664981112,-1.0,STOP_LOSS,1,516.173466539927,521.3873399393201,-0.009999999999999905
17,2025-01-30 15:00:00+00:00,,BUY,31.602,31.45325239596219,31.45325239596219,31.973869010094532,26.025972143157073,0.75,-3.8713009990494527,-1.0753613886248479,-1.0,STOP_LOSS,2,512.3021655408775,521.3873399393201,-0.01742499999999996
18,2025-01-30 16:00:00+00:00,2025-01-31 01:00:00+00:00,BUY,31.38,31.22169865339346,31.22169865339346,31.775753366516348,24.27184811703852,0.75,-3.8422662415565814,-1.0672961782101615,-1.0,STOP_LOSS,3,508.4598992993209,521.3873399393201,-0.024794312499999915
19,2025-01-30 17:00:00+00:00,2025-01-31 00:00:00+00:00,BUY,31.5754,31.40887374957964,31.40887374957964,31.99171562605089,15.266659100767296,0.5,-2.5422994964966046,-0.7061943045823902,-1.0,STOP_LOSS,4,505.9175998028243,521.3873399393201,-0.029670340937499876
20,2025-01-30 18:00:00+00:00,2025-01-31 00:00:00+00:00,BUY,31.581,31.418868481752522,31.418868481752522,31.986328795618693,15.602074330501,0.5,-2.529587999014122,-0.7026633330594784,-1.0,STOP_LOSS,5,503.38801180381023,521.3873399393201,-0.03452198923281233
