Strategy,Entry_Time,Exit_Time,Direction,PnL,PnL_Pct,Balance,Exit_Reason
SilverSniper,2025-11-26 18:00:00+00:00,2025-11-27 01:40:00+00:00,BUY,-223.9459379299861,-2.239459379299861,9776.054062070014,STOP_LOSS
SilverMomentum,2025-12-01 18:00:00+00:00,2025-12-02 00:20:00+00:00,BUY,-201.7415500184879,-2.017415500184879,9574.312512051527,STOP_LOSS
DailyORB,2025-12-02 12:45:00+00:00,2025-12-02 14:10:00+00:00,BUY,358.7191196547909,3.5871911965479093,9933.031631706317,TAKE_PROFIT
DailyORB,2025-12-02 20:30:00+00:00,2025-12-02 23:00:00+00:00,BUY,-217.44387205787697,-2.1744387205787694,9715.58775964844,STOP_LOSS
SilverMomentum,2025-12-02 17:00:00+00:00,2025-12-04 08:55:00+00:00,BUY,-205.31559029310566,-2.0531559029310564,9510.272169355336,STOP_LOSS
SilverSniper,2025-12-04 23:25:00+00:00,2025-12-05 02:40:00+00:00,SELL,-212.98218221474556,-2.1298218221474556,9297.28998714059,STOP_LOSS
DailyORB,2025-12-09 23:15:00+00:00,2025-12-10 01:30:00+00:00,BUY,345.6525122273503,3.456525122273503,9642.94249936794,TAKE_PROFIT
DailyORB,2025-12-10 20:00:00+00:00,2025-12-11 01:50:00+00:00,BUY,373.1298770552513,3.731298770552513,10016.072376423192,TAKE_PROFIT
SilverMomentum,2025-12-10 21:00:00+00:00,2025-12-11 18:10:00+00:00,BUY,474.69168069244313,4.746916806924431,10490.764057115635,TAKE_PROFIT
SilverMomentum,2025-12-17 17:00:00+00:00,2025-12-18 01:25:00+00:00,BUY,-217.49677373343826,-2.1749677373343825,10273.267283382196,STOP_LOSS
DailyORB,2025-12-23 17:00:00+00:00,2025-12-24 01:20:00+00:00,BUY,396.16139725727385,3.961613972572738,10669.42868063947,TAKE_PROFIT
SilverSniper,2025-12-23 23:05:00+00:00,2025-12-24 14:40:00+00:00,BUY,-230.07998084714674,-2.3007998084714676,10439.348699792323,STOP_LOSS
SilverMomentum,2025-12-23 16:00:00+00:00,2025-12-25 23:35:00+00:00,BUY,505.6498403686199,5.056498403686199,10944.998540160943,TAKE_PROFIT
SilverSniper,2025-12-26 08:45:00+00:00,2025-12-26 11:10:00+00:00,BUY,-245.12593346115028,-2.451259334611503,10699.872606699793,STOP_LOSS
SilverMomentum,2025-12-26 16:00:00+00:00,2025-12-28 23:00:00+00:00,BUY,528.6487451728773,5.286487451728773,11228.52135187267,TAKE_PROFIT
SilverSniper,2025-12-29 11:45:00+00:00,2025-12-29 13:00:00+00:00,SELL,-244.36670391582538,-2.443667039158254,10984.154647956846,STOP_LOSS
SilverSniper,2026-01-02 05:15:00+00:00,2026-01-02 14:40:00+00:00,BUY,-246.00221058873856,-2.4600221058873855,10738.152437368108,STOP_LOSS
DailyORB,2026-01-06 20:45:00+00:00,2026-01-06 23:55:00+00:00,BUY,415.22744204692935,4.152274420469293,11153.379879415037,TAKE_PROFIT
SilverMomentum,2026-01-12 16:00:00+00:00,2026-01-12 23:10:00+00:00,BUY,-229.28651803718722,-2.292865180371872,10924.09336137785,STOP_LOSS
SilverSniper,2026-01-14 03:50:00+00:00,2026-01-14 04:15:00+00:00,BUY,629.2626665643736,6.292626665643736,11553.356027942224,TAKE_PROFIT
SilverMomentum,2026-01-14 19:00:00+00:00,2026-01-15 01:25:00+00:00,BUY,-236.19229357821544,-2.3619229357821547,11317.163734364009,STOP_LOSS
SilverMomentum,2026-01-15 16:00:00+00:00,2026-01-16 13:25:00+00:00,BUY,-230.16439917728454,-2.3016439917728455,11086.999335186723,STOP_LOSS
SilverSniper,2026-01-19 05:30:00+00:00,2026-01-19 08:40:00+00:00,BUY,-248.31466466599713,-2.4831466466599714,10838.684670520726,STOP_LOSS
SilverSniper,2026-01-22 02:55:00+00:00,2026-01-22 15:25:00+00:00,BUY,629.2274679822201,6.2922746798222,11467.912138502947,TAKE_PROFIT
SilverSniper,2026-01-22 23:00:00+00:00,2026-01-23 01:20:00+00:00,BUY,660.5859314563133,6.6058593145631335,12128.49806995926,TAKE_PROFIT
SilverMomentum,2026-01-23 16:00:00+00:00,2026-01-25 23:05:00+00:00,BUY,598.0432038547095,5.980432038547096,12726.54127381397,TAKE_PROFIT
SilverSniper,2026-01-26 05:35:00+00:00,2026-01-26 05:55:00+00:00,SELL,-277.3726089790785,-2.7737260897907854,12449.168664834891,STOP_LOSS
SilverSniper,2026-01-26 11:15:00+00:00,2026-01-26 11:50:00+00:00,SELL,-268.66450777679444,-2.6866450777679445,12180.504157058096,STOP_LOSS
DailyORB,2026-01-27 20:45:00+00:00,2026-01-28 05:10:00+00:00,BUY,478.9107740066479,4.789107740066479,12659.414931064744,TAKE_PROFIT
SilverSniper,2026-01-28 00:50:00+00:00,2026-01-28 09:20:00+00:00,BUY,-254.33037516643566,-2.543303751664357,12405.08455589831,STOP_LOSS
SilverMomentum,2026-01-28 21:00:00+00:00,2026-01-29 15:15:00+00:00,BUY,-251.9418783339561,-2.519418783339561,12153.142677564352,STOP_LOSS
SilverSniper,2026-01-30 05:55:00+00:00,2026-01-30 07:35:00+00:00,SELL,717.1049170719164,7.171049170719164,12870.247594636268,TAKE_PROFIT
DailyORB,2026-01-30 02:15:00+00:00,2026-01-30 07:40:00+00:00,SELL,480.5849101291132,4.805849101291132,13350.832504765382,TAKE_PROFIT
SilverSniper,2026-02-02 02:55:00+00:00,2026-02-02 05:45:00+00:00,SELL,795.2044794328647,7.952044794328647,14146.036984198247,TAKE_PROFIT
DailyORB,2026-02-03 17:00:00+00:00,2026-02-04 01:10:00+00:00,SELL,-291.2043323541835,-2.9120433235418353,13854.832651844063,STOP_LOSS
DailyORB,2026-02-05 02:00:00+00:00,2026-02-05 02:05:00+00:00,SELL,-284.00491812212954,-2.8400491812212953,13570.827733721933,STOP_LOSS
DailyORB,2026-02-05 12:00:00+00:00,2026-02-05 14:30:00+00:00,SELL,536.0538452498934,5.3605384524989335,14106.881578971826,TAKE_PROFIT
SilverSniper,2026-02-05 18:10:00+00:00,2026-02-05 18:20:00+00:00,SELL,-295.84484683998437,-2.9584484683998435,13811.036732131843,STOP_LOSS
SilverSniper,2026-02-09 04:30:00+00:00,2026-02-09 06:35:00+00:00,BUY,-309.31853065437974,-3.0931853065437975,13501.718201477463,STOP_LOSS
DailyORB,2026-02-09 13:15:00+00:00,2026-02-09 14:30:00+00:00,SELL,-282.4763160285666,-2.824763160285666,13219.241885448895,STOP_LOSS
DailyORB,2026-02-09 23:00:00+00:00,2026-02-09 23:05:00+00:00,SELL,-278.3104860968989,-2.783104860968989,12940.931399351995,STOP_LOSS
SilverMomentum,2026-02-09 16:00:00+00:00,2026-02-10 16:05:00+00:00,BUY,-268.5153796587412,-2.685153796587412,12672.416019693253,STOP_LOSS
SilverSniper,2026-02-17 10:45:00+00:00,2026-02-17 11:55:00+00:00,SELL,-274.0108189398498,-2.740108189398498,12398.405200753403,STOP_LOSS
DailyORB,2026-02-17 10:45:00+00:00,2026-02-17 11:55:00+00:00,SELL,-268.6168594076172,-2.6861685940761717,12129.788341345786,STOP_LOSS
DailyORB,2026-02-17 13:45:00+00:00,2026-02-17 13:50:00+00:00,SELL,-254.8966048162343,-2.548966048162343,11874.891736529551,STOP_LOSS
