symbol,exit,n,wins,wr,roi,sharpe,max_dd,sl_pct,tp_pct,sma_exit_pct
XAU_USD,SMA20,106,41,38.7,20.77,1.96,-6.61,19.8,4.7,75.5
XAU_USD,SMA50,95,31,32.6,14.53,1.36,-11.49,34.7,8.4,56.8
XAG_USD,SMA20,310,107,34.5,30.13,0.88,-9.42,17.7,1.0,81.3
XAG_USD,SMA50,265,87,32.8,25.29,0.72,-13.63,27.5,1.9,70.6
WHEAT_USD,SMA20,125,38,30.4,-1.29,-0.17,-11.77,12.0,4.8,83.2
WHEAT_USD,SMA50,99,34,34.3,-2.89,-0.37,-10.2,31.3,10.1,58.6
NAS100_USD,SMA20,109,41,37.6,14.71,1.37,-12.52,24.8,5.5,69.7
NAS100_USD,SMA50,100,31,31.0,6.23,0.57,-16.36,34.0,8.0,58.0
JP225_USD,SMA20,205,67,32.7,13.72,0.67,-18.68,21.0,4.4,74.6
JP225_USD,SMA50,160,51,31.9,15.95,0.79,-15.79,39.4,7.5,53.1
AUD_USD,SMA20,137,54,39.4,13.42,1.39,-6.2,10.2,11.7,78.1
AUD_USD,SMA50,126,43,34.1,12.44,1.16,-5.35,27.8,19.8,52.4
USD_CAD,SMA20,99,39,39.4,5.89,0.88,-10.29,8.1,6.1,85.9
USD_CAD,SMA50,89,28,31.5,3.39,0.44,-11.28,24.7,12.4,62.9
