symbol,timeframe,period,rr,trades,wins,win_rate,roi,sharpe,max_dd,expectancy
XAG_USD,5m,2025-11-21 → 2026-03-05,2.0,98,41,41.8,27.0,2.8,-10.68,0.255
XAG_USD,5m,2025-11-21 → 2026-03-05,2.5,82,31,37.8,28.78,3.03,-8.47,0.323
XAG_USD,5m,2025-11-21 → 2026-03-05,3.0,79,24,30.4,16.96,1.82,-9.88,0.215
XAG_USD,5m,2025-11-21 → 2026-03-05,3.5,76,23,30.3,29.51,2.78,-6.79,0.362
XAG_USD,5m,2025-11-21 → 2026-03-05,4.0,66,18,27.3,25.05,2.41,-7.91,0.364
XAG_USD,5m,2025-11-21 → 2026-03-05,4.5,60,13,21.7,10.5,1.18,-10.34,0.192
XAG_USD,5m,2025-11-21 → 2026-03-05,5.0,59,13,22.0,18.76,1.88,-8.13,0.322
XAG_USD,5m,2025-11-21 → 2026-03-05,6.0,53,13,24.5,42.69,3.54,-6.79,0.717
XAG_USD,5m,2025-11-21 → 2026-03-05,7.0,46,10,21.7,37.0,3.34,-6.79,0.739
XAG_USD,5m,2025-11-21 → 2026-03-05,8.0,42,9,21.4,43.47,3.69,-6.79,0.929
XAG_USD,5m,2025-11-21 → 2026-03-05,10.0,39,9,23.1,74.42,5.03,-7.73,1.538
XAG_USD,5m,2025-11-21 → 2026-03-05,12.0,34,9,26.5,115.7,6.3,-6.79,2.441
